seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,L1,79,-6.555195470907078e-07,0,3.3185201150793455e-11,128
0,L1,80,-9.747226024627879e-07,0,3.3185201150793455e-11,128
0,L1,81,-1.0798612190612448e-06,0,3.3185201150793455e-11,128
0,L1,82,-1.5256904387847825e-06,0,3.3185201150793455e-11,128
0,L1,83,-1.942739450769711e-06,0,3.3185201150793455e-11,128
0,L1,84,-2.004997110881678e-06,0,3.3185201150793455e-11,128
0,L1,85,-2.3561826076956988e-06,0,3.3185201150793455e-11,128
0,L1,86,-2.9169385555536883e-06,0,3.3185201150793455e-11,128
0,L1,87,-5.5927651171144245e-06,0,3.3185201150793455e-11,128
0,L1,88,-8.97050049447255e-06,0,3.3185201150793455e-11,128
0,L1,89,-1.2065792059153332e-05,0,3.3185201150793455e-11,128
0,L1,90,-1.597666523940319e-05,0,3.3185201150793455e-11,128
0,L1,91,-1.9531521619060167e-05,0,3.3185201150793455e-11,128
0,L1,92,-2.3367284422553924e-05,0,3.3185201150793455e-11,128
0,L1,93,-3.0508421506229002e-05,0,3.3185201150793455e-11,128
0,L1,94,-3.548843207521653e-05,0,3.3185201150793455e-11,128
0,L1,95,-4.683568480182503e-05,0,3.3185201150793455e-11,128
0,L1,96,-5.146549581154689e-05,0,3.3185201150793455e-11,128
0,L1,97,-5.655568109597551e-05,0,3.3185201150793455e-11,128
0,L1,98,-7.939095375329372e-05,0,3.3185201150793455e-11,128
0,L1,99,-8.941343641795343e-05,0,3.3185201150793455e-11,128
0,L1,100,-0.00011982545600134778,0,3.3185201150793455e-11,128
0,L1,101,-0.00013676789439726023,0,3.3185201150793455e-11,128
0,L1,102,-0.00015069855720700845,0,3.3185201150793455e-11,128
0,L1,103,-0.00018070583658858443,0,3.3185201150793455e-11,128
0,L1,104,-0.00019914371438274915,0,3.3185201150793455e-11,128
0,L1,105,-0.0002530317377870484,0,3.3185201150793455e-11,128
0,L1,106,-0.000282123815895866,0,3.3185201150793455e-11,128
0,L1,107,-0.00045223869459366545,0,3.3185201150793455e-11,128
0,L1,108,-0.0004940201705246682,0,3.3185201150793455e-11,128
0,L1,109,-0.0005466937884750174,0,3.3185201150793455e-11,128
0,L1,110,-0.0006657002999674724,0,3.3185201150793455e-11,128
0,L1,111,-0.0010969410191748285,0,3.3185201150793455e-11,128
0,L1,112,-0.001454292082897112,0,3.3185201150793455e-11,128
0,L1,113,-0.0016032153486085718,0,3.3185201150793455e-11,128
0,L1,114,-0.001805714585432374,0,3.3185201150793455e-11,128
0,L1,115,-0.004061990200050623,0,3.3185201150793455e-11,128
0,L1,116,-0.006339354150217404,0,3.3185201150793455e-11,128
0,L1,117,-0.006993928772251493,0,3.3185201150793455e-11,128
0,L1,118,-0.011272510129906927,0,3.3185201150793455e-11,128
0,L1,119,-0.0144606213561448,0,3.3185201150793455e-11,128
0,L1,120,-0.018405507846444066,0,3.3185201150793455e-11,128
0,L1,121,-0.023646451184960202,0,3.3185201150793455e-11,128
0,L1,122,-0.027467345342541125,0,3.3185201150793455e-11,128
0,L1,123,-0.028130785221066826,0,3.3185201150793455e-11,128
0,L1,124,-0.04232282041115907,0,3.3185201150793455e-11,128
0,L1,125,-0.13546791171531647,0,3.3185201150793455e-11,128
0,L1,126,-0.18844224603102144,0,3.3185201150793455e-11,128
0,L1,127,-0.33185201150793453,0,3.3185201150793455e-11,128
0,L2,0,0.1890909591265418,1,6.855499862231469e-11,128
0,L2,1,0.14800354090031156,1,6.855499862231469e-11,128
0,L2,2,0.06674176683463291,1,6.855499862231469e-11,128
0,L2,3,0.0566996517188015,1,6.855499862231469e-11,128
0,L2,4,0.05604746880884519,1,6.855499862231469e-11,128
0,L2,5,0.035672171803435765,1,6.855499862231469e-11,128
0,L2,6,0.03214156401781357,1,6.855499862231469e-11,128
0,L2,7,0.029621628630409343,1,6.855499862231469e-11,128
0,L2,8,0.025827062363040294,1,6.855499862231469e-11,128
0,L2,9,0.024026943457040043,1,6.855499862231469e-11,128
0,L2,10,0.01694489725879099,1,6.855499862231469e-11,128
0,L2,11,0.012489775459918858,1,6.855499862231469e-11,128
0,L2,12,0.011006264411480867,1,6.855499862231469e-11,128
0,L2,13,0.010752914823377644,1,6.855499862231469e-11,128
0,L2,14,0.008646173118174692,1,6.855499862231469e-11,128
0,L2,15,0.0077744944686188155,1,6.855499862231469e-11,128
0,L2,16,0.00731225164609703,1,6.855499862231469e-11,128
0,L2,17,0.0070124186955233805,1,6.855499862231469e-11,128
0,L2,18,0.006303181076678838,1,6.855499862231469e-11,128
0,L2,19,0.005983203364741867,1,6.855499862231469e-11,128
0,L2,20,0.005864486442253706,1,6.855499862231469e-11,128
0,L2,21,0.005232477960643818,1,6.855499862231469e-11,128
0,L2,22,0.004953070239114078,1,6.855499862231469e-11,128
0,L2,23,0.004434024822957156,1,6.855499862231469e-11,128
0,L2,24,0.0037573191341989044,1,6.855499862231469e-11,128
0,L2,25,0.0033478793089205725,1,6.855499862231469e-11,128
0,L2,26,0.003062003803369723,1,6.855499862231469e-11,128
0,L2,27,0.0029771895824919027,1,6.855499862231469e-11,128
0,L2,28,0.002672286650297371,1,6.855499862231469e-11,128
0,L2,29,0.0020226864746511505,1,6.855499862231469e-11,128
0,L2,30,0.0017918900340094953,1,6.855499862231469e-11,128
0,L2,31,0.0007532623184994233,1,6.855499862231469e-11,128
0,L2,32,2.669692052610543e-17,0,6.855499862231469e-11,128
0,L2,33,2.5566305748879113e-17,0,6.855499862231469e-11,128
